Start Time,End Time,Name,PaperId,Presenter,Demo,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6,Comments
2013-10-22T22:30:17Z,2013-10-22T22:32:31Z,Sean Munson,cscw233,Sean Munson,,"cscw648,cscw517,cscw387,cscw542,cscw537,cscw327,cscw487,cscw395,cscw637,cscw596",,"cscw517,cscw542,cscw395","cscw596,cscw537","cscw487,cscw327,cscw648,cscw387,cscw637","cscw542,cscw395,cscw387","cscw145,cscw526,cscw624,cscw305,cscw142,cscw390,cscw590,cscw211,cscw647,cscw443",FALSE,FALSE,,,
2013-10-22T22:29:29Z,2013-10-22T22:34:45Z,Zhen Yue,cscw352,Zhen Yue,yes,"cscw443,cscw178,cscw191,cscw333,cscw190,cscw293,cscw274,cscw550,cscw626,cscw474","cscw293,cscw191,cscw550",cscw443,cscw178,"cscw626,cscw190,cscw474,cscw333,cscw274","cscw191,cscw550","cscw492,cscw253,cscw268,cscw241,cscw625,cscw471,cscw566,cscw302,cscw356,cscw527",FALSE,FALSE,,,
2013-10-22T22:29:53Z,2013-10-22T22:36:46Z,Alexander Quinn,cscw626,Alexander Quinn,yes,"cscw352,cscw527,cscw663,cscw223,cscw440,cscw647,cscw597,cscw602,cscw317,cscw105","cscw440,cscw105,cscw597,cscw647,cscw317",,"cscw602,cscw223,cscw663,cscw527,cscw352",,"cscw317,cscw352,cscw647,cscw527,cscw440,cscw597,cscw105","cscw487,cscw486,cscw374,cscw443,cscw293,cscw191,cscw637,cscw530,cscw625,cscw365",FALSE,FALSE,,,
2013-10-22T22:30:19Z,2013-10-22T22:37:13Z,Paul André,cscw317,Paul André,,"cscw597,cscw629,cscw188,cscw391,cscw647,cscw626,cscw440,cscw105,cscw584,cscw254","cscw626,cscw254","cscw105,cscw391","cscw440,cscw188","cscw584,cscw629,cscw597,cscw647","cscw254,cscw629,cscw626","cscw588,cscw558,cscw488,cscw668,cscw431,cscw432,cscw486,cscw590,cscw487,cscw548",TRUE,FALSE,,,:)
2013-10-22T22:32:21Z,2013-10-22T22:39:12Z,Audrey Desjardins,cscw471,Audrey Desjardins,,"cscw209,cscw663,cscw487,cscw191,cscw188,cscw579,cscw243,cscw354,cscw495,cscw352",cscw579,"cscw204,cscw243,cscw209,cscw274","cscw487,cscw241,cscw566,cscw191,cscw190,cscw222,cscw663,cscw188,cscw495,cscw431,cscw354,cscw390,cscw253,cscw352,cscw558",,"cscw579,cscw209","cscw558,cscw431,cscw274,cscw253,cscw566,cscw204,cscw390,cscw241,cscw190,cscw222",TRUE,FALSE,,,
2013-10-22T22:39:20Z,2013-10-22T22:44:39Z,N. Sadat Shami,cscw308,N. Sadat Shami,,"cscw108,cscw387,cscw358,cscw648,cscw473,cscw223,cscw130,cscw494,cscw277,cscw590","cscw387,cscw358","cscw130,cscw473,cscw277",cscw223,"cscw648,cscw108,cscw590,cscw494","cscw277,cscw130,cscw494,cscw473,cscw358","cscw430,cscw295,cscw391,cscw530,cscw374,cscw211,cscw221,cscw566,cscw474,cscw390",FALSE,FALSE,,,
2013-10-22T22:32:15Z,2013-10-22T22:52:18Z,Airi Lampinen,cscw374,Airi Lampinen,,"cscw559,cscw647,cscw369,cscw493,cscw527,cscw302,cscw228,cscw413,cscw626,cscw668","cscw369,cscw559","cscw228,cscw668","cscw626,cscw413","cscw302,cscw527,cscw647,cscw493","cscw493,cscw668,cscw228,cscw559,cscw369","cscw411,cscw305,cscw387,cscw440,cscw310,cscw499,cscw599,cscw128,cscw624,cscw586",FALSE,FALSE,,,
2013-10-22T22:58:09Z,2013-10-22T23:00:19Z, Gina Venolia,cscw558,Meredith Morris,,"cscw550,cscw462,cscw354,cscw599,cscw293,cscw474,cscw390,cscw609,cscw228,cscw598",cscw462,"cscw293,cscw609,cscw598,cscw599","cscw228,cscw474,cscw354,cscw390",cscw550,,"cscw317,cscw209,cscw188,cscw387,cscw191,cscw204,cscw240,cscw636,cscw277,cscw647",FALSE,FALSE,,,
2013-10-22T22:59:10Z,2013-10-22T23:03:37Z, Marcelo Cataldo,cscw395,Kate Ehrlich,,"cscw493,cscw590,cscw285,cscw233,cscw494,cscw254,cscw355,cscw305,cscw211,cscw622",cscw211,"cscw254,cscw233","cscw305,cscw590,cscw493,cscw355","cscw285,cscw494,cscw622",cscw211,"cscw387,cscw609,cscw252,cscw369,cscw624,cscw413,cscw438,cscw391,cscw390,cscw128",FALSE,FALSE,,,
2013-10-22T22:59:10Z,2013-10-22T23:03:51Z, Marcelo Cataldo,cscw395,Kate Ehrlich,,"cscw493,cscw590,cscw285,cscw233,cscw494,cscw254,cscw355,cscw305,cscw211,cscw622",cscw211,"cscw254,cscw233","cscw305,cscw590,cscw493,cscw355","cscw285,cscw494,cscw622",cscw211,"cscw387,cscw609,cscw252,cscw369,cscw624,cscw413,cscw438,cscw391,cscw390,cscw128",FALSE,FALSE,,,
