SessionID,Room,PaperID,PaperTitle,AuthorName,DateTime,,,,,,,,,,,
C,Crowd,568,"Standing Out from the Crowd: Emotional Labor, Body Labor, and Temporal Labor in Ridesharing","Dourish, Paul",Monday 11 - 12:30,,,,,,,,,,,
C,Crowd,228,Analysing volunteer engagement in humanitarian mapping: building contributor communities at large scale,"Dittus, Martin",Monday 11 - 12:30,,,,,,,,,,,
C,Crowd,238,PlanSourcing: Generating Behavior Change Plans with Friends and Crowds,"Agapie, Elena",Monday 11 - 12:30,,,,,,,,,,,
C,Crowd,235,The Crowd is a Collaborative Network,"Suri, Siddharth",Monday 11 - 12:30,,,,,,,,,,,
C,Social,552,#Bieber + #Blast = #BieberBlast: Early prediction of popular hashtag compounds,"Maity, Suman Kalyan",Monday 11 - 12:30,,,,,,,,,,,
C,Social,655,Style in the Age of Instagram: Predicting Success within the Fashion Industry using Social Media,"Park, Jaehyuk",Monday 11 - 12:30,,,,,,,,,,,
C,Social,505,Modeling Self-Disclosure in Social Networking Sites,"Wang, Yi-Chia",Monday 11 - 12:30,,,,,,,,,,,
C,Social,437,"Social, Visual, and Contextual Methods for Editorial Curation from Community-Contributed Sources","Shamma, David",Monday 11 - 12:30,,,,,,,,,,,
C,Work,359,Supporting Group Coherence in a Museum Visit,"Fosh, Lesley",Monday 11 - 12:30,,,,,,,,,,,
C,Work,354,Articulating Co-Design in Museums: Reflections on Two Participatory Processes,"McDermott, Fiona",Monday 11 - 12:30,,,,,,,,,,,
C,Work,215,Effects of the Display Angle on Social Behaviors of the People around the Display: A Field Study at a Museum,"Ichino, Junko",Monday 11 - 12:30,,,,,,,,,,,
C,Work,609,JokeBox: Coordinating Shared Encounters in Public Spaces,"Marshall, Paul",Monday 11 - 12:30,,,,,,,,,,,
C,Health/Wellness/Home,253,"Steps, Choices and Moral Accounting: Observations from a Step-Counting Campaign in the Workplace","Gorm, Nanna",Monday 11 - 12:30,,,,,,,,,,,
C,Health/Wellness/Home,578,Confidence & Control: Examining Adolescent Preferences for Technologies that Promote Wellness,"Irannejad Bisafar, Farnaz",Monday 11 - 12:30,,,,,,,,,,,
C,Health/Wellness/Home,358,One LED is Enough: Catalyzing Face-to-face Interactions at Conferences with a Gentle Nudge,"Chen, Jay",Monday 11 - 12:30,,,,,,,,,,,
C,Health/Wellness/Home,105,Persistent Sharing of Fitness App Status on Twitter,"Park, Kunwoo",Monday 11 - 12:30,,,,,,,,,,,
G,Crowd,733,Monitoring and Trust in Virtual Teams,"Robert, Lionel",Monday 2:30 - 4:00,,,,,,,,,,,
G,Crowd,396,Personality Matters: Balancing for Personality Types Leads to Better Outcomes for Crowd Teams,"Lykourentzou, Ioanna",Monday 2:30 - 4:00,,,,,,,,,,,
G,Crowd,237,Embracing Cultural Diversity: Online Social Ties in Distributed Workgroups,"Ehrlich, Kate",Monday 2:30 - 4:00,,,,,,,,,,,
G,Crowd,690,Effects of Sensemaking Translucence on Distributed Collaborative Analysis,"Goyal, Nitesh",Monday 2:30 - 4:00,,,,,,,,,,,
G,Social,276,Deployment of a Collaborative Multi-Modal Annotation System for Instructor Feedback and Peer Discussion,"Yoon, Dongwook",Monday 2:30 - 4:00,,,,,,,,,,,
G,Social,756,Ask the Instructors: Motivations and Challenges of Teaching Massive Open Online Courses,"Zheng, Saijing",Monday 2:30 - 4:00,,,,,,,,,,,
G,Social,430,Impoverished Visions of Sustainability: Encouraging Disruption in Digital Learning Environments,"Nathan, Lisa",Monday 2:30 - 4:00,,,,,,,,,,,
G,Social,133,Do Massive Open Online Course Platforms Support Employability?,"Dillahunt, Tawanna",Monday 2:30 - 4:00,,,,,,,,,,,
G,Work,653,The Diffusion of Trust and Cooperation in Teams with Individuals' Variations on Baseline Trust,"Wang, Yi",Monday 2:30 - 4:00,,,,,,,,,,,
G,Work,445,Vendors' Perspectives of Coordination in the Information Technology Offshore Outsourcing Industry: An Exploratory Study from the Philippines,"Ambe, Aloha May",Monday 2:30 - 4:00,,,,,,,,,,,
G,Work,613,When Distance Doesn't Really Matter: Effects of Geographic Dispersion on Participation in Online Enterprise Communities,"Warshaw, Jeffrey",Monday 2:30 - 4:00,,,,,,,,,,,
G,Work,620,Work and Play: An Experiment in Enterprise Gamification,"Bozzon, Alessandro",Monday 2:30 - 4:00,,,,,,,,,,,
G,Health/Wellness/Home,752,Strangers on Your Phone: Why People Use Anonymous Communication Apps,"Kang, Ruogu",Monday 2:30 - 4:00,,,,,,,,,,,
G,Health/Wellness/Home,142,The role of digital technologies during relationship breakdowns,"Moncur, Wendy",Monday 2:30 - 4:00,,,,,,,,,,,
G,Health/Wellness/Home,743,On the bias: Self-esteem biases across communication channels during romantic couple conflict,"Scissors, Lauren",Monday 2:30 - 4:00,,,,,,,,,,,
G,Health/Wellness/Home,628,Mobile Media Matters: Hyperpersonal Idealization and Relationship Satisfaction among Geographically Close Dating Couples,"Toma, Catalina",Monday 2:30 - 4:00,,,,,,,,,,,
I,Crowd,481,MarathOn Multiscreen: Group Television Watching and Interaction in a Viewing Ecology,"Anstead, Edward",Monday 4:30 - 6:00,,,,,,,,,,,
I,Crowd,109,To Beam or Not to Beam: A Study of Remote Telepresence Attendance at an Academic Conference,"Neustaedter, Carman",Monday 4:30 - 6:00,,,,,,,,,,,
I,Crowd,383,Distributed Liveness: Understanding How New Technologies Transform Performance Experiences,"Webb, Andrew",Monday 4:30 - 6:00,,,,,,,,,,,
I,Social,356,On the Wisdom of Experts vs. Crowds: Discovering Trustworthy Topical News in Microblogs,"Ghosh, Saptarshi",Monday 4:30 - 6:00,,,,,,,,,,,
I,Social,429,Keeping Up with the Tweet-dashians: The Impact of 'Official' Accounts on Online Rumoring,"Andrews, Cynthia",Monday 4:30 - 6:00,,,,,,,,,,,
I,Social,328,How Information Snowballs: Exploring the Role of Exposure in Online Rumor Propagation,"Arif, Ahmer",Monday 4:30 - 6:00,,,,,,,,,,,
I,Work,546,Data Narratives: uncovering tensions in personal data management,"Kaye, Jofish",Monday 4:30 - 6:00,,,,,,,,,,,
I,Work,449,This has to be the cats' - Personal Data Legibility in Networked Sensing Systems,"Crabtree, Andy",Monday 4:30 - 6:00,,,,,,,,,,,
I,Work,458,Networked Privacy Management in Facebook: A Mixed-Methods and Multinational Study,"Cho, Hichang",Monday 4:30 - 6:00,,,,,,,,,,,
I,Health/Wellness/Home,452,SunForum: Understanding Depression in a Chinese Online Community,"Li, Guo",Monday 4:30 - 6:00,,,,,,,,,,,
I,Health/Wellness/Home,335,Surveillance & Modesty on Social Media: How Qataris Navigate Modernity and Maintain Tradition,"Vieweg, Sarah",Monday 4:30 - 6:00,,,,,,,,,,,
I,Health/Wellness/Home,232,Examining American and Chinese Internet Users' Contextual Privacy Preferences of Behavioral Advertising,"Wang, Yang",Monday 4:30 - 6:00,,,,,,,,,,,
I,Rich Telepresence,305,"Beyond talking heads: Multimedia artifact creation, use, and sharing in distributed meetings","Marlow, Jennifer",Monday 4:30 - 6:00,,,,,,,,,,,
I,Rich Telepresence,332,Room2Room: Enabling Life-Size Telepresence in a Projected Augmented Reality Environment,"Pejsa, Tomislav",Monday 4:30 - 6:00,,,,,,,,,,,
I,Rich Telepresence,385,Taking Notes or Playing Games? Understanding Multitasking in Video Communication,"Marlow, Jennifer",Monday 4:30 - 6:00,,,,,,,,,,,
A,Crowd,561,Toward Automatic Bootstrapping of Online Communities: A Case Study of Open AIR,"Huang, Shih-Wen",Tuesday 9 - 10:30,,,,,,,,,,,
A,Crowd,503,Early Activity Diversity: Assessing Newcomer Retention from First-Session Activity,"Karumur, Raghav Pavan",Tuesday 9 - 10:30,,,,,,,,,,,
A,Crowd,731,One and Done: Factors affecting one-time contributors to ad-hoc online communities,"McInnis, Brian",Tuesday 9 - 10:30,,,,,,,,,,,
A,Crowd,156,Which Way Did They Go? Newcomer Movement through the Zooniverse,"Jackson, Corey",Tuesday 9 - 10:30,,,,,,,,,,,
A,Social,553,"Crystallize: An Immersive, Collaborative Game for Second Language Learning","Culbertson, Gabriel",Tuesday 9 - 10:30,,,,,,,,,,,
A,Social,400,Dead Avatars Floating Through Space: A Population Study of the Creation and Use of Multiple Technical User Representations,"Clark, Joshua",Tuesday 9 - 10:30,,,,,,,,,,,
A,Social,387,Can Visualisation of Contributions Support Fairness in Collaboration? Lessons from Meters in an Online Game,"Kelly, Ryan",Tuesday 9 - 10:30,,,,,,,,,,,
A,Social,199,Virtual Team Networks: How Group Social Capital Affects Team Success in a Massively Multiplayer Online Game,"Benefield, Grace",Tuesday 9 - 10:30,,,,,,,,,,,
A,Work,196,Thousands of Positive Reviews: Distributed Mentoring in Online Fan Communities,"Aragon, Cecilia",Tuesday 9 - 10:30,,,,,,,,,,,
A,Work,548,The Effects and Antecedents of Conflict in Free and Open Source Software Development,"Filippova, Anna",Tuesday 9 - 10:30,,,,,,,,,,,
A,Work,273,Effectiveness of Conflict Management Strategies in Peer Review Process of Online Collaboration Projects,"Huang, Wenjian",Tuesday 9 - 10:30,,,,,,,,,,,
A,Work,386,A Contingency View of Transferring and Adapting Best Practices within Online Communities,"Zhu, Haiyi",Tuesday 9 - 10:30,,,,,,,,,,,
A,Health/Wellness/Home,395,Crafting the Image in Surgical Telemedicine,"Mentis, Helena",Tuesday 9 - 10:30,,,,,,,,,,,
A,Health/Wellness/Home,419,Partners in Care: Design Considerations for Caregivers and Patients During a Hospital Stay,"Miller, Andrew",Tuesday 9 - 10:30,,,,,,,,,,,
A,Health/Wellness/Home,157,Examining Challenges and Opportunities in Patient-Provider Collaboration with Patient-Generated Data,"Chung, Chia-Fang",Tuesday 9 - 10:30,,,,,,,,,,,
A,Health/Wellness/Home,468,Designing for those who are overlooked Ð Insider Perspectives on Care Practices and Cooperative Work of Elderly Informal Caregivers,"Schorch, MarÌ©n",Tuesday 9 - 10:30,,,,,,,,,,,
H,Crowd,457,Campus-Scale Mobile Crowd-Tasking: Deployment & Behavioral Insights,"Kandappu, Thivya",Tuesday 11 - 12:30,,,,,,,,,,,
H,Crowd,424,Botivist: Calling Volunteers to Action using Online Bots,"Savage, Saiph",Tuesday 11 - 12:30,,,,,,,,,,,
H,Crowd,207,You Get Who You Pay for: The Impact of Incentives on Participation Bias,"Hsieh, Gary",Tuesday 11 - 12:30,,,,,,,,,,,
H,Crowd,596,Assignment Techniques for Crowdsourcing Sensitive Tasks,"Celis, L. Elisa",Tuesday 11 - 12:30,,,,,,,,,,,
H,Social,312,Identity Work on Social Media Sites: Disadvantaged College Students' First Year College Transition,"Morioka, Tsubasa",Tuesday 11 - 12:30,,,,,,,,,,,
H,Social,371,Understanding Collaboration Patterns on an Interactive Tabletop in a Classroom Setting,"Evans, Abigail",Tuesday 11 - 12:30,,,,,,,,,,,
