ID,"type (keynote, long paper, short paper, ppf paper, workshop, poster, demo, tutorial, panel, etc.)",title,authors/speakers (comma delineated),session name,session chair,room name,date (MM-DD-YYYY),time (HH:MM:SS military time),endtime,keywords (comma delinated),"award (best paper, honorary mention)",abstract/blurb,,(new) authors,,(new) title
0,keynote,Automated Machine Learning in the Wild,Claudia Perlich,Opening Keynote,Shilad Sen,Kresge,09-17-16,9:00:00,10:00:00,"machine learning, big data, advertising, case studies, Dstillery",,"Machine Learning research is progressing at an ever-increasing pace. Fueled by technology advances commonly referred to as “Big Data”, all data related fields are teaming with scientific and applied activity: our communities explore new application areas, develop new learning algorithms, and continuously scale and improve optimization and estimation methods. But from an industry perspective, many of the most impeding challenges are entirely elsewhere. This talk takes a fresh look at the practical state of affairs in the context of running a large-scale automated machine learning system that supports 50 Billion decision daily on behalf of hundreds of digital advertisers. Some of the key lessons are 1) robustness beats peak performance almost always, 2) support for the constant dynamic fluctuations in the data stream is essential, 3) models exploiting unknowingly any weakness of your metrics, and finally 4) the fact that despite big data, the data you really want never exists.",,Claudia Perlich,,Automated Machine Learning in the Wild
1,keynote,Personalization for Google Now - User understanding and application to information recommendation and exploration,Shashi Thakur,Sunday Keynote,Pablo Castells,Kresge,09-18-16,8:30:00,9:30:00,"Google Now, personalization, guided exploration",,"At the heart of any personalization application, such as Google Now, is a deep model for users. The understanding of users ranges from raw history to lower dimensional reductions like interest, locations, preferences, etc. We will discuss different representations of such user understanding. Going from understanding to application, we will talk about two broad applications - recommendations of information and guided exploration - both in the context of Google Now. We will focus on such applications from an information retrieval perspective. Information recommendation then takes the form of biasing information retrieval, in response to a query or, in the limit, in a query-less application. Somewhere in between lies broad declaration of user intent, e.g., interest in food, and we will discuss how personalization and guided exploration play together to provide a valuable tool to the user. We will discuss valuable lessons learned along the way.At the heart of any personalization application, such as Google Now, is a deep model for users. The understanding of users ranges from raw history to lower dimensional reductions like interest, locations, preferences, etc. We will discuss different representations of such user understanding. Going from understanding to application, we will talk about two broad applications - recommendations of information and guided exploration - both in the context of Google Now. We will focus on such applications from an information retrieval perspective. Information recommendation then takes the form of biasing information retrieval, in response to a query or, in the limit, in a query-less application. Somewhere in between lies broad declaration of user intent, e.g., interest in food, and we will discuss how personalization and guided exploration play together to provide a valuable tool to the user. We will discuss valuable lessons learned along the way.",,Shashi Thakur,,Personalization for Google Now - User understanding and application to information recommendation and exploration
2,keynote,"Peer Effects, Social Multipliers and Cascades of Human Behavior",Sinan Aral,Closing Keynote,Werner Geyer,Kresge,09-19-16,15:00:00,16:00:00,"Peer influence, social networks, behavior dynamics",,"In this talk, I will survey empirical approaches to causal inference in networks and describe a series of large-scale randomized experiments and causal observational studies of peer influence to explore the behavioral dynamics catalyzed by peer effects or social spillovers in human behavior and opinion formation. I will discuss the public policy implications of peer effects for bias in online ratings, social advertising, human health interdependence and the ability to generate cascades of behavior through peer to peer influence in networks. ",,Sinan Aral,,"Peer Effects, Social Multipliers and Cascades of Human Behavior"
371,ppf paper,Recommendations with a Purpose,Gediminas Adomavicius and Dietmar Jannach,Paper Session 1 - Beyond Accuracy,Joe Konstan,Kresge,09-17-16,10:40:00,12:20:00,"Foundations of Recommender Systems, Recommendation Goals and Purposes",,"The purpose of recommenders is often summarized as ""help the users find relevant items"", and the predominant operationalization of this goal has been to focus on the ability to numerically estimate the users' preferences for unseen items or to provide users with item lists ranked in accordance to the estimated preferences. This dominant, albeit narrow, view of the recommendation problem has been tremendously helpful in advancing research in different ways, e.g., through the establishment of standardized evaluation procedures and metrics. In reality, recommender systems can serve a variety of purposes from the point of view of both consumers and providers. Most of the purposes, however, are significantly underexplored, even though many of them are arguably more aligned with the real-world expectations for recommenders than our current predominant paradigm. Therefore, it is important to revisit our conceptualizations of the potential goals of recommenders and their operationalization as research problems. In this paper, we discuss a framework of recommendation goals and purposes and highlight possible future directions and challenges related to the operationalization of such alternative problem formulations.",,"Dietmar Jannach, Gediminas Adomavicius",,Recommendations with a Purpose
393,ppf paper,Recommender Systems for Self-Actualization,Bart P. Knijnenburg and Saadhika Sivakumar,Paper Session 1 - Beyond Accuracy,Joe Konstan,Kresge,09-17-16,10:40:00,12:20:00,"Recommender Systems, Filter Bubble, Choice Overload, Self-Actualization",,"Every day, we are confronted with an abundance of decisions that require us to choose from a seemingly endless number of choice options. Recommender systems are supposed to help us deal with this formidable task, but some scholars claim that these systems instead put us inside a “Filter Bubble” that severely limits our perspectives. This paper presents a new direction for recommender systems research with the main goal of supporting users in developing, exploring, and understanding their unique personal preferences.",,"Bart P. Knijnenburg, Saadhika Sivakumar, Daricia Wilkinson",,Recommender Systems for Self-Actualization
145,long paper,A coverage-based approach to recommendation diversity on similarity graphs,"Shameem A Puthiya Parambath, Nicolas Usunier and Yves Grandvalet",Paper Session 1 - Beyond Accuracy,Joe Konstan,Kresge,09-17-16,10:40:00,12:20:00,"recommender systems, diverse recommendation, diverse ranking, coverage, submodular function",,"We consider the problem of generating diverse, personalized recommendations such that a small set of recommended items covers a broad range of the user's interests. We represent items in a similarity graph, and we formulate the relevance/diversity trade-off as finding a small set of unrated items that best covers a subset of items positively rated by the user. In contrast to previous approaches, our method does not rely on an explicit trade-off between a relevance objective and a diversity objective, as the estimations of relevance and diversity are implicit in the coverage criterion. We show on several benchmark datasets that our approach compares favorably to the state-of-the-art diversification methods according to various relevance and diversity measures.",,"Shameem A Puthiya Parambath, Nicolas Usunier, Yves Grandvalet",,A Coverage-Based Approach to Recommendation Diversity On Similarity Graph
78,short paper,A Scalable Contextual Bandits Approach for Periodical Personalized Recommendations,"Zhen Qin, Ish Rishabh and John Carnahan",Paper Session 1 - Beyond Accuracy,Joe Konstan,Kresge,09-17-16,10:40:00,12:20:00,"Recommender Systems, Personalization, Online Learning, Contextual Bandits, Scalability, Learning Reductions",,"We develop a highly scalable and effective contextual bandit approach towards periodical personalized recommendations. The online bootstrapping-based technique provides a principled way for UCB-type exploitation-exploration algorithms, while being able to handle arbitrary sized datasets, well suited to learn the ever evolving user preference drift from streaming data, and essentially parameter-free. We further introduce techniques to handle arbitrary sized feature spaces using feature hashing, leverage existing state-of-art machine learning via learning reduction, and increase cache hits by managing bootstrapped models in memory effectively. The resulted model trains on millions of examples and billions of features within minutes on a single personal computer. It shows persistent performance in both offline and online evaluation. We observe around 10\% click through rate (CTR) and conversion lift over a collaborative filtering approach in real-world A/B testing across more than 40 million users on the major Ticketmaster email recommendation product.",,"Zhen Qin, Ish Rishabh, John Carnahan",,A Scalable Approach for Periodical Personalized Recommendations
164,short paper,Multi-Word Generative Query Recommendation Using Topic Modeling,Matthew Mitsui and Chirag Shah,Paper Session 1 - Beyond Accuracy,Joe Konstan,Kresge,09-17-16,10:40:00,12:20:00,"Search session analysis, Diversity, User simulations, Exploratory search, Query recommendation, Latent Dirichlet Allocation",,"Query recommendation predominantly relies on search logs to use existing queries for recommendation, typically calculating query similarity metrics or transition probabilities from the log. While effective, such recommendations are limited to the queries, words, and phrases in the log. They hence do not recommend potentially useful, entirely novel queries. Recent query recommendation methods have proposed generating queries on a topical or thematic level, though current approaches are limited to generating single words. We propose a hybrid method for constructing multi-word queries in this generative sense. It uses Latent Dirichlet Allocation to generate a topic for exploration and skip-gram modeling to generate queries from the topic. According to additional evaluation metrics we present, our model improves diversity and has some room for improving relevance, yet offers an interesting avenue for query recommendation.",,"Matthew Mitsui, Chirag Shah",,Multi-Word Generative Query Recommendation Using Topic Modeling
298,short paper,Contrasting offline and online results when evaluating recommendation algorithms,"Marco Rossetti, Fabio Stella and Markus Zanker",Paper Session 1 - Beyond Accuracy,Joe Konstan,Kresge,09-17-16,10:40:00,12:20:00,"User study, Evaluation methodology, Experimental within users design",,"Most evaluations of novel algorithmic contributions assess their accuracy in predicting what was withheld in an offline evaluation scenario. However, several doubts have been raised that standard offline evaluation practices are not appropriate to select the best algorithm for field deployment. The goal of this work is therefore to compare the offline and the online evaluation methodology with the same study participants, i.e. a within users experimental design. This paper presents empirical evidence that the ranking of algorithms based on offline accuracy measurements clearly contradicts the results from the online study with the same set of users. Thus the external validity of the most commonly applied evaluation methodology is not guaranteed.",,"Marco Rossetti, Fabio Stella, Markus Zanker",,Contrasting Offline and Online Results when Evaluating Recommendation Algorithms
266,short paper,"Adaptive, Personalized Diversity for Visual Discovery","Choon Hui Teo, Houssam Nassif, Daniel Hill, Sriram Srinivasan, Mitchell Goodman, Vijai Mohan and S. V. N. Vishwanathan",Paper Session 1 - Beyond Accuracy,Joe Konstan,Kresge,09-17-16,10:40:00,12:20:00,"Machine Learning, Submodular Functions, Diversity, Personalization, Explore-Exploit, Multi-Armed Bandits",,"Search queries are appropriate when users have explicit intent, but they perform poorly when the intent is difficult to express or if the user is simply looking to be inspired. Visual browsing systems allow e-commerce platforms to address these scenarios while offering the user an engaging shopping experience. Here we explore extensions in the direction of adaptive personalization and item diversification within Stream, a new form of visual browsing and discovery by Amazon. Our system presents the user with a diverse set of interesting items while adapting to user interactions. Our solution consists of three components (1) a Bayesian regression model for scoring the relevance of items while leveraging uncertainty, (2) a submodular diversification framework that re-ranks the top scoring items based on category, and (3) personalized category preferences learned from the user's behavior. When tested on live traffic, our algorithms show a strong lift in click-through-rate and session duration.",,"Choon Hui Teo, Houssam Nassif, Daniel Hill, Sriram Srinivasan, Mitchell Goodman, Vijai Mohan, S. V. N. Vishwanathan",,"Adaptive, Personalized Diversity for Visual Discovery"
