Tuesday Morning & Wednesday Afternoon,,
,Demo 1: Data Intensive Applications,
134,Data-driven Neuroscience: Enabling Breakthroughs Via Innovative Data Management,"Alexandros Stougiannis, Mirjana Pavlovic, Farhan Tauheed, Thomas Heinis, Anastasia Ailamaki"
384,TsingNUS: A Location-Based Service System Towards Live City,"Guoliang Li, Nan Zhang, Ruicheng Zhong, Weihuang Huang, KianLee Tan, Jianhua Feng, Lizhu Zhou"
538,WoW: What the World of (data) Warehousing can learn from the World of Warcraft,"Rene Mueller, Guy Lohman, Tim Kaldewey, John McPherson"
376,Wepic: WebdamLog Picture Manager,"Serge Abiteboul, Émilien Antoine, Gerome Miklau, Julia Stoyanovich, Jules Testard"
528,Speeding up Database Applications with Pyxis,"Alvin Cheung, Owen Arden, Sam Madden, Andrew Myers"
226,Peckalytics: Analyzing Experts and Interests on Twitter,"Alex Cheng, Nilesh Bansal, Nick Koudas"
563,Packing Experiments for Sharing and Publication,"Fernando Chirigati, Dennis Shasha, Juliana Freire"
572,CHIC: A Combination-based Recommendation System,"Manasi Vartak, Sam Madden"
509,Noah: A Dynamic Ridesharing System,"Charles Tian, Yan Huang, Favyen Bastani, Ruoming Jin"
314,A Query Answering System for Data with Evolution Relationships,"Siarhei Bykau, Flavio Rizzolo, Yannis Velegrakis"
Tuesday Afternoon I & Thursday Morning,,
,Demo 2: Data Analysis and Mining; Privacy; Security,
250,GeoDeepDive: Statistical Inference using Familiar Data-Processing Languages,"Ce Zhang, Vidhya Govindaraju, Jackson Borchardt, Tim Foltz, Christopher Re, Shanan Peters"
444,Fact checking and analyzing the Web,"François Goasdoué, Konstantinos Karanasos, Yannis Katsis, Julien Leblay, Ioana Manolescu, Stamatis Zampetakis"
268,Data Mining Algorithms as a Service in the Cloud Exploiting Relational Database Systems,"Carlos Ordonez, Javier Garcia-Garcia, Carlos Garcia-Alvarado, Wellington Cabrera, Veerabhadran Baladandayuthapani, Mohammed S. Quraishi"
469,SONDY: An Open Source Platform for Social Dynamics Mining and Analysis,"Adrien Guille, Cecile Favre, Hakim Hacid, Djamel Zighed"
519,Interactive Data Mining with 3D-Parallel-Coordinate-Trees,"Elke Achtert, Hans-Peter Kriegel, Erich Schubert, Arthur Zimek"
260,Stat! – An Interactive Analytics Environment for Big Data,"Mike Barnett, Badrish Chandramouli, Robert DeLine, Steven Drucker, Danyel Fisher, Jonathan Goldstein, John Platt, Patrick Morrison"
321,PARAS: Interactive Parameter Space Exploration for Association Rule Mining,"Abhishek Mukherji, Xika Lin, Elke Rundensteiner, Matthew Ward, Carolina Ruiz"
333,STEM: A Spatio-TEmporal Miner for Bursty Activities,"Theodoros Lappas, Marcos Vieira, Dimitrios Gunopulos, Vassilis Tsotras"
359,The Farm - where Pig Scripts are bred and raised,"Craig Sayers, Alkis Simitsis, Georgia Koutrika, David Alan Tamez Cantu, Alejandro Guerrero-Gonzalez"
480,LinkIT: Privacy Preserving Record Linkage and Integration via Transformations,"Luca Bonomi, Li Xiong, James Lu"
524,Secure Database-as-a-Service with Cipherbase,"Arvind Arasu, Spyros Blanas, Ken Eguro, Manas Joglekar, Raghav Kaushik, Donald Kossmann, Ravi Ramamurthy, Prasang Upadhyaya, Ramarathnam Venkatesan"
Tuesday Afternoon II & Thursday Afternoon I,,
,Demo 3: Database Optimization; Performance,
195,DBalancer: Distributed Load Balancing for NoSQL Data-stores,"Ioannis Konstantinou, Dimitrios Tsoumakos, Ioannis Mytilinis, Nectarios Koziris"
200,COCCUS: Self-Configured Cost-Based Query Services in the Cloud,"Ioannis Konstantinou, Verena Kantere, Dimitrios Tsoumakos, Nectarios Koziris"
214,Workload Optimization using SharedDB,"Georgios Giannikis, Darko Makreshanski,Gustavo Alonso, Donald Kossmann"
289,SciQL: Array Data Processing Inside An RDBMS,"Ying Zhang, Martin Kersten, Stefan Manegold"
462,Iterative Parallel Data Processing with Stratosphere: An Inside Look,"Stephan Ewen, Sebastian Schelter, Kostas Tzoumas, Daniel Warneke, Volker Markl"
479,Cartilage: Adding Flexibility to the Hadoop Skeleton,"Alekh Jindal, Jorge Quiane-Ruiz, Sam Madden"
389,Continuous Outlier Detection in Data Streams: An Extensible Framework and State-Of-The-Art Algorithms,"Dimitris Georgiadis, Maria Kontaki, Anastasios Gounaris, Apostolos Papadopoulos, Kostas Tsichlas, Yannis Manolopoulos"
430,FAST: Differentially Private Real-Time Aggregate Monitor with Filtering and Adaptive Sampling,"Liyue Fan, Li Xiong, Vaidy Sunderam"
349,Execution and Optimization of Continuous Queries with Cyclops,"Harold Lim, Shivnath Babu"
295,"Less Watts, More Performance: An Intelligent Storage Engine for Data Appliances","Louis Woods, Jens Teubner, Gustavo Alonso"
310,A Demonstration of SQLVM: Performance Isolation in Multi-Tenant Relational Database-as-a-Service,"Vivek Narasayya, Sudipto Das, Manoj Syamala, Surajit Chaudhuri, Feng Li, Hyunjung Park"
Wednesday Morning & Thursday Afternoon II,,
,Demo 4: Graphs and Networks; Potpourrice,
192,SQUIN: A Traversal Based Query Execution System for the Web of Linked Data,"Hartig, Olaf"
473,GrDB: A System for Declarative and Interactive Analysis of Noisy Information Networks,"Walaa Eldin Moustafa, Hui Miao, Amol Deshpande, Lise Getoor"
511,HiNGE : Enabling Temporal Network Analytics at Scale,"Udayan Khurana, Amol Deshpande"
353,Research-Insight: Providing Insight on Research by Publication Network Analysis,"Fangbo Tao, Xiao Yu, Kin Hou Lei, George Brova, Xiao Cheng, Jiawei Han, Rucha Kanade, Yizhou Sun, Chi Wang, Lidan Wang, Tim Weninger"
256,QUBLE: Blending Visual Subgraph Query Formulation with Query Processing on Large Networks,"Ho Hoang Hung, Sourav S Bhowmick, Ba Quan Truong, Byron Choi, Shuigeng Zhou"
536,StreamWorks - A system for Dynamic Graph Search,"Sutanay Choudhury, Lawrence Holder, George Chin, Abhik Ray, Sherman Beus, John Feo"
258,Query Processing on Prefix Trees Live,"Thomas Kissinger, Benjamin Schlegel, Dirk Habich, TU Dresden, Wolfgang Lehner"
342,xPAD: A Platform for Analytic Data Flows,"Alkis Simitsis, Kevin Wilkinson, Petar Jovanovic"
487,PBS at Work: Advancing Data Store Functionality with Consistency Metrics,"Peter Bailis, Shivaram Venkataraman, Michael Franklin, Joseph Hellerstein, Ion Stoica"
527,The Power of Data Use Management in Action,"Prasang Upadhyaya, Nick Anderson, Magdalena Balazinska, Bill Howe, Raghav Kaushik, Ravi Ramamurthy, Dan Suciu"
541,CTrace: Semantic Comparison of Multi-Granularity Process Traces,"Qing Liu,Kerry Taylor, Xiang Zhao, Geoffrey Squire, Lin Xuemin, Corne Kloppers, Richard Miller"
