Tuesday Morning,,
,Industrial 1: Big Data I,
20,"The ""Big Data"" Ecosystem at LinkedIn","Roshan Sumbaly, Jay Kreps, Sam Shah"
591,On Brewing Fresh Espresso: Linkedin's Distributed Data Serving Platform,"Lin Qiao, Kapil Surlaker, Shirshanka Das, Tom Quiggle, Bob Schulman, Bhaskar Ghosh, Antony Curtis, Oliver Seeliger, Zhen Zhang, Aditya Auradkar, Chris Beavers, Gregory Brandt, Mihir Gandhi, Kishore Gopalakrishna, Wai Ip, Swaroop Jagadish, Shi Lu, Alexander Pachev, Aditya Ramesh, Abraham Sebastian, Rupa Shanbhag, Subbu Subramaniam, Yun Sun, Sajid Topiwala, Cuong Tran, Jemiah Westerman, David Zhang"
105,Fast Data in the Era of Big Data: Twitter's Real-Time Related Query Suggestion Architecture,"Gilad Mishne, Jeff Dalton, Zhenghua Li, Aneesh Sharma, Jimmy Lin"
Tuesday Afternoon I,,
,Industrial 2: Enterprise Data management,
45,Enhancements to SQL Server Column Stores,"Paul Larson, Cipri Clinciu, Campbell Fraser, Eric Hanson, Mostafa Mokhtar, Michal Nowakiewicz, Susan Price, Srikumar Rangarajan, Remus Rusanu, Mayukh Saubhasik"
206,Query Containment in Entity SQL,"Guillem Rull, Philip Bernstein, Ivo Garcia dos Santos, Yannis Katsis, Sergey Melnik, Ernest Teniente"
219,Timeline Index: A Unified Data Structure for Processing Queries on Temporal Data in SAP HANA,"Martin Kaufmann, Amin Manjili, Panagiotis Vagenas, Peter Fischer, Donald Kossmann, Franz Faerber, Norman May"
Tuesday Afternoon II,,
,Industrial 3: Big Data II & Web,
478,LinkBench: a Database Benchmark based on the Facebook Social Graph,"Timothy Armstrong, Mark Callaghan, Dhruba Borthakur, Vamsi Ponnekanti"
332,BigBench: Towards an Industry Standard Benchmark for Big Data Analytics,"Ahmad Ghazal, Minqing Hu, Tilmann Rabl, Francois Raab, Meikel Poess, Alain Crolotte, Hans-Arno Jacobsen"
545,"Building, Maintaining, and Using Knowledge Bases: A Report from the Trenches","Omkar Deshpande, Digvijay S. Lamba, Michel Tourn, Sanjib Das, Sri Subramaniam, Anand Rajaraman, Venky Harinarayan, AnHai Doan"
Wednesday Morning,,
,Industrial 4: Systems & New Hardware Trends,
311,Query Processing on Smart SSDs: Opportunities and Challenges,"Jaeyoung Do, Yang Seok Ki, Jignesh Patel, Chanik Park, Kwanghyun Park, David DeWitt"
162,Micro Adaptivity in Vectorwise,"Bogdan Raducanu, Peter Boncz, Marcin Zukowski"
152,Hekaton: SQL Server’s Memory-Optimized OLTP Engine,"Cristian Diaconu, Craig Freedman, Erik Ismert, Paul Larson, Pravin Mittal, Ryan Stonecipher, Nitin Verma, Mike Zwilling"
Thursday Morning,,
,Industrial 5: Big Data III & More,
67,Split Query Processing in Polybase,"David DeWitt, Alan Halverson, Rimma Nehme, Srinath Shankar, Jose Aguilar Saborit, Artin Avanes, Jim Gramling"
687,Petabyte Scale Databases and Storage Systems Deployed at Facebook,Dhruba Borthakur
264,Incremental Mapping Compilation in an Object-to-Relational Mapping System,"Philip Bernstein, Marie Jacob, Jorge Pérez, Guillem Rull, James Terwilliger"
