Abstract #,Paper title,Authors,Presentation date,Presentation time,Actual time,Session name,Session chair,Room number,Award (hon mention or best paper)
773,Social Networks Under Stress,"Daniel Romero, Brian Uzzi and Jon Kleinberg.",Wednesday,14:00 - 15:30,14:00-14:22,Track 1: Social Networks & Graph Analysis (1),,,
788,Measuring Urban Social Diversity Using Interconnected Geo-Social Networks,"Desislava Hristova, Matthew J. Williams, Mirco Musolesi, Pietro Panzarasa and Cecilia Mascolo.",Wednesday,,14:22-14:45,Track 1: Social Networks & Graph Analysis (1),,,
2,Recommendation with Signed Social Networks,"Jiliang Tang, Charu Aggarwal and Huan Liu. ",Wednesday,,14:45-15:07,Track 1: Social Networks & Graph Analysis (1),,,
266,HeteroSales: Utilizing Heterogeneous Social Networks to Identify the Next Enterprise Customer,"Qingbo Hu, Sihong Xie, Jiawei Zhang, Qiang Zhu, Songtao Guo and Philip Yu.",Wednesday,,15:07-15:30,Track 1: Social Networks & Graph Analysis (1),,,
316,Immersive Recommendation: News and Event Recommendations Using Personal Digital Traces,"Cheng-Kang Hsieh, Longqi Yang, Honghao Wei, Mor Naaman and Deborah Estrin.",Wednesday,14:00 - 15:30,14:00-14:22,Track 2: Behaviour Analysis & Personalization (1),,,
723,Beyond Collaborative Filtering: Optimizing List Recommendation Click-Through Rate,"Noam Koenigstein, Oren Sar Shalom, Ulrich Paquet and Hastagiri Vanchinathan.",Wednesday,,14:22-14:45,Track 2: Behaviour Analysis & Personalization (1),,,
67,Recommendation based on Total Surplus Maximization,"Yongfeng Zhang, Qi Zhao, Yi Zhang, Daniel Friedman and Min Zhang.",Wednesday,,14:45-15:07,Track 2: Behaviour Analysis & Personalization (1),,,
92,When do Recommender Systems Work the Best? The Moderating Effects of Product Attributes and Consumer Reviews on Recommender Performance,Dokyun Lee and Kartik Hosanagar.,Wednesday,,15:07-15:30,Track 2: Behaviour Analysis & Personalization (1),,,
526,Enabling Flexible Control on Web Tracking,"Wei Meng, Byoungyoung Lee, Xinyu Xing and Wenke Lee.",Wednesday,14:00 - 15:30,14:00-14:22,Track 3: Security & Privacy (1),,,
18,In a World that Counts: Clustering and Detecting Fake Social Engagement at Scale,"Yixuan Li, Oscar Martinez, Xing Chen, Yi Li and John Hopcroft.",Wednesday,,14:22-14:45,Track 3: Security & Privacy (1),,,
499,Tracking the Trackers,"Zhonghao Yu, Sam Macbeth, Konark Modi and Josep M. Pujol.",Wednesday,,14:45-15:07,Track 3: Security & Privacy (1),,,
531,Crowdsourcing Annotations of Websites' Privacy Policies: Can It Really Work?,"Shomir Wilson, Florian Schaub, Rohan Ramanath, Norman Sadeh, Fei Liu, Noah Smith and Frederick Liu.",Wednesday,,15:07-15:30,Track 3: Security & Privacy (1),,,
769,Abusive Language Detection in User Content,"Chikashi Nobata, Joel Tetreault, Achint Thomas, Yashar Mehdad and Yi Chang.",Wednesday,14:00 - 15:30,14:00-14:30,Track 4: Content Analysis (1),,,
897,Hidden Topic Sentiment Model,Md Mustafizur Rahman and Hongning Wang.,Wednesday,,14:30-15:00,Track 4: Content Analysis (1),,,
1010,Mining aspect-specific opinion using a holistic topic model,"Shuai Wang, Zhiyuan Chen and Bing Liu.",Wednesday,,15:00-15:30,Track 4: Content Analysis (1),,,
374,Mean Field Equilibria for Competitive Exploration in Resource Sharing Settings,"Pu Yang, Krishnamurthy Iyer and Peter Frazier.",Wednesday,14:00 - 15:30,14:00-14:22,Track 5: Economy & Markets (1),,,
518,Bayesian Budget Feasibility with Posted Pricing,Eric Balkanski and Jason Hartline.,Wednesday,,14:22-14:45,Track 5: Economy & Markets (1),,,
811,Understanding User Economic Behavior in the City Using Large-scale Geotagged and Crowdsourced Data,"Yingjie Zhang, Beibei Li and Jason Hong.",Wednesday,,14:45-15:07,Track 5: Economy & Markets (1),,,
155,Mechanism Design for Mixed Ads,"Yoram Bachrach, Sofia Ceppi, Ian Kash, Peter Key and Mohammad Reza Khani.",Wednesday,,15:07-15:30,Track 5: Economy & Markets (1),,,
